Cluster 1,Center,x=86.000000, y=64.000000
Date,High,Low,
12/31/2016,59,47,4
1/1/2017,62,43,4
1/3/2017,60,48,4
1/4/2017,63,47,4
1/18/2017,62,47,4
1/21/2017,63,46,4
1/23/2017,58,44,4
1/24/2017,58,41,4
1/25/2017,61,41,4
1/26/2017,65,43,4
1/27/2017,64,44,4
2/24/2017,64,44,4
2/25/2017,66,44,4
2/26/2017,58,49,4
2/28/2017,66,47,4
3/6/2017,67,46,4
12/20/2017,60,47,4
12/21/2017,63,44,4
12/22/2017,65,40,4
12/23/2017,66,47,4
1/21/2018,64,42,4
1/22/2018,69,44,4
2/19/2018,59,48,4
2/20/2018,60,40,4
2/21/2018,62,47,4
2/22/2018,62,45,4
2/23/2018,59,44,4
2/24/2018,62,40,4
2/25/2018,68,44,4
2/26/2018,67,45,4
2/27/2018,56,43,4
2/28/2018,62,41,4
3/1/2018,63,45,4
3/3/2018,61,48,4
3/4/2018,62,43,4
3/18/2018,64,46,4
12/23/2018,67,47,4
12/26/2018,66,47,4
12/28/2018,62,45,4
12/29/2018,62,39,4
12/30/2018,66,41,4
12/31/2018,63,46,4
1/1/2019,62,38,4
1/2/2019,63,38,4
1/3/2019,67,43,4
1/4/2019,66,45,4
1/5/2019,58,48,4
1/6/2019,61,46,4
1/9/2019,67,47,4
1/22/2019,67,47,4
1/23/2019,67,45,4
2/1/2019,64,48,4
2/5/2019,56,46,4
2/6/2019,57,43,4
2/7/2019,62,43,4
2/8/2019,63,44,4
2/9/2019,60,47,4
2/10/2019,58,47,4
2/11/2019,61,40,4
2/12/2019,69,42,4
2/16/2019,60,45,4
2/17/2019,58,44,4
2/18/2019,59,43,4
2/19/2019,60,41,4
2/20/2019,57,43,4
2/21/2019,57,43,4
2/22/2019,62,40,4
2/23/2019,62,46,4
2/24/2019,66,46,4
2/26/2019,66,47,4
,,,
,,,
Cluster 6,Center,x=95.000000, y=65.000000
Date,High,Low,
4/30/2014,91,62,5
5/1/2014,92,63,5
5/2/2014,96,62,5
5/3/2014,89,63,5
5/13/2014,94,65,5
5/14/2014,99,63,5
5/16/2014,95,68,5
7/7/2014,89,66,5
7/24/2014,92,65,5
7/30/2014,90,68,5
8/2/2014,90,65,5
8/15/2014,89,63,5
8/16/2014,90,66,5
8/17/2014,89,66,5
8/27/2014,91,66,5
8/28/2014,91,68,5
8/29/2014,90,65,5
8/30/2014,89,65,5
9/7/2014,92,68,5
9/9/2014,91,68,5
9/12/2014,91,68,5
9/13/2014,94,69,5
10/2/2014,98,64,5
10/4/2014,97,65,5
10/5/2014,95,65,5
10/6/2014,92,64,5
10/7/2014,93,64,5
3/14/2015,93,62,5
3/15/2015,92,66,5
3/16/2015,90,66,5
3/26/2015,92,61,5
3/27/2015,91,62,5
4/28/2015,92,61,5
6/29/2015,91,68,5
8/13/2015,91,68,5
8/14/2015,91,68,5
8/16/2015,95,68,5
9/6/2015,90,64,5
9/7/2015,94,68,5
9/19/2015,92,67,5
9/24/2015,92,68,5
9/25/2015,93,69,5
9/26/2015,92,70,5
9/27/2015,90,67,5
9/30/2015,89,66,5
10/8/2015,89,65,5
10/24/2015,90,63,5
6/18/2016,89,63,5
6/19/2016,96,66,5
7/20/2016,89,66,5
7/21/2016,92,67,5
7/22/2016,95,68,5
7/24/2016,92,69,5
7/25/2016,91,69,5
8/15/2016,91,65,5
9/25/2016,96,63,5
9/29/2016,92,69,5
10/20/2016,95,61,5
10/21/2016,92,64,5
11/9/2016,93,64,5
11/10/2016,90,63,5
